row ID,Common Filename,Parent folder,File extension,Well Position,TimePoint,FieldNumber,Green Probe,Red Probe,Far Red Probe,Green Probe Detect,Red Probe Detect,Far Red Probe Detect,CT Probe Color,Karyotype,NucleusID,CTID,Dimension 0 (Centroid),Dimension 1 (Centroid),Normalized Centriod DistanceMap,Center of Gravity in Dimension#0 (Center of Gravity),Center of Gravity in Dimension#1 (Center of Gravity),Normalized Center of Gravity DistanceMap,Size (Geometric Features 2D),Circularity (Geometric Features 2D),Convexity (Geometric Features 2D),Eccentricity (Geometric Features 2D),Main Elongation (Geometric Features 2D),Ferets Angle (Geometric Features 2D),Ferets Diameter (Geometric Features 2D),Major Axis (Geometric Features 2D),Minor Axis (Geometric Features 2D),Boundary Size (Geometric Features 2D),Boxivity (Geometric Features 2D),Roundness (Geometric Features 2D),Rugosity (Geometric Features 2D),Solidity (Geometric Features 2D),Minimum (Statistic Features),Maximum (Statistic Features),Mean (Statistic Features),Sum (Statistic Features),Skewness (Statistic Features),Median (Statistic Features),Kurtosis (Statistic Features),Standard Deviation (Statistic Features),Variance (Statistic Features),Sum Of Logs (Statistic Features),Sum Of Squares (Statistic Features),Sum Of Inverses (Statistic Features),Moment 1 About Mean (Statistic Features),Moment 2 About Mean (Statistic Features),Moment 3 About Mean (Statistic Features),Moment 4 About Mean (Statistic Features),Harmonic Mean (Statistic Features),Geometric Mean (Statistic Features),Minimum (Statistic Features) (CT Channel),Maximum (Statistic Features) (CT Channel),Mean (Statistic Features) (CT Channel),Sum (Statistic Features) (CT Channel),Skewness (Statistic Features) (CT Channel),Median (Statistic Features) (CT Channel),Kurtosis (Statistic Features) (CT Channel),Standard Deviation (Statistic Features) (CT Channel),Variance (Statistic Features) (CT Channel),Sum Of Logs (Statistic Features) (CT Channel),Sum Of Squares (Statistic Features) (CT Channel),Sum Of Inverses (Statistic Features) (CT Channel),Moment 1 About Mean (Statistic Features) (CT Channel),Moment 2 About Mean (Statistic Features) (CT Channel),Moment 3 About Mean (Statistic Features) (CT Channel),Moment 4 About Mean (Statistic Features) (CT Channel),Harmonic Mean (Statistic Features) (CT Channel),Geometric Mean (Statistic Features) (CT Channel),Size (Geometric Features 2D)_CT,Circularity (Geometric Features 2D)_CT,Convexity (Geometric Features 2D)_CT,Eccentricity (Geometric Features 2D)_CT,Main Elongation (Geometric Features 2D)_CT,Ferets Angle (Geometric Features 2D)_CT,Ferets Diameter (Geometric Features 2D)_CT,Major Axis (Geometric Features 2D)_CT,Minor Axis (Geometric Features 2D)_CT,Boundary Size (Geometric Features 2D)_CT,Boxivity (Geometric Features 2D)_CT,Roundness (Geometric Features 2D)_CT,Rugosity (Geometric Features 2D)_CT,Solidity (Geometric Features 2D)_CT,Minimum (Statistic Features)_CT,Maximum (Statistic Features)_CT,Mean (Statistic Features)_CT,Sum (Statistic Features)_CT,Skewness (Statistic Features)_CT,Median (Statistic Features)_CT,Kurtosis (Statistic Features)_CT,Standard Deviation (Statistic Features)_CT,Variance (Statistic Features)_CT,Sum Of Logs (Statistic Features)_CT,Sum Of Squares (Statistic Features)_CT,Sum Of Inverses (Statistic Features)_CT,Moment 1 About Mean (Statistic Features)_CT,Moment 2 About Mean (Statistic Features)_CT,Moment 3 About Mean (Statistic Features)_CT,Moment 4 About Mean (Statistic Features)_CT,Harmonic Mean (Statistic Features)_CT,Geometric Mean (Statistic Features)_CT,Maximum (Statistic Features)_AllCTs,Mean (Statistic Features)_AllCTs,Sum (Statistic Features)_AllCTs,Skewness (Statistic Features)_AllCTs,Median (Statistic Features)_AllCTs,Kurtosis (Statistic Features)_AllCTs,Standard Deviation (Statistic Features)_AllCTs,Variance (Statistic Features)_AllCTs,Maximum (Statistic Features)_XORAllCTs,Mean (Statistic Features)_XORAllCTs,Sum (Statistic Features)_XORAllCTs,Skewness (Statistic Features)_XORAllCTs,Median (Statistic Features)_XORAllCTs,Kurtosis (Statistic Features)_XORAllCTs,Standard Deviation (Statistic Features)_XORAllCTs,Variance (Statistic Features)_XORAllCTs,NumPixelsdistantShell1,NumPixelsdistantShell2,NumPixelsdistantShell3,NumPixelsdistantShell4,NumPixelsdistantShell5,NumPixelsAlldistantShells,NumPixelsareaShell1,NumPixelsareaShell2,NumPixelsareaShell3,NumPixelsareaShell4,NumPixelsareaShell5,NumPixelsAllareaShells,CentriodDistanceShellNumber,CenterofGravityDistanceShellNumber,TotalNumberofDistanceShells,CentriodAreaShellNumber,CenterofGravityAreaShellNumber,TotalNumberofAreaShells
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,1,1,66.12087912,24.45054945,0.598481476,66.23473554,24.40227651,0.598481476,5727.5,0.740296433,0.943860761,1.852228232,0.46010973,232.8417032,119.2015101,116.2210669,62.74662319,311.8061325,0.643553788,0.53989027,1.059478306,0.972410866,346,1100,656.9648524,3850471,-0.178008935,664,2.743124952,108.4838051,11768.73597,37939.19682,2.60E+09,9.193114183,-7.47E-14,11766.72799,-227267.079,3.80E+08,637.5423913,647.5273513,791,5437,2021.215322,1.18E+07,1.394341114,1982,7.629449658,563.9764985,318069.4908,44401.03601,2.58E+10,3.113031136,-1.17E-12,318015.222,2.50E+08,7.72E+11,1882.730928,1950.177795,158,0.69482681,0.940855332,1.385133449,0.278047901,190.0079798,17.2626765,16.6928085,12.05140813,53.45584412,0.670628183,0.721952099,1.062862659,0.882681564,2623,5437,3873.285714,704938,0.340182708,3822,2.449986374,628.458498,394960.0837,1501.290792,2.80E+09,0.048225889,4.15E-13,392789.9733,8.44E+07,3.82E+11,3773.906599,3823.228521,5437,3873.285714,704938,0.340182708,3822,2.449986374,628.458498,394960.0837,4343,2130.358093,3843166,-0.161542037,2194,3.568493644,461.1539222,212662.9399,0,26,84,72,0,182,0,0,31,88,63,182,3,3,5,4,4,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#2#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,2,1,50.96464646,17.76767677,0.399291843,50.92359449,18.04546169,0.430006593,7325.5,0.742923652,0.955624408,2.094958673,0.522663615,191.3921358,136.6930869,139.7852752,66.72459795,352.0071427,0.592630046,0.477336385,1.046436228,0.987397223,323,1059,705.1589147,5275999,-0.577410917,722,3.019669005,117.7089601,13855.39928,48953.51358,3.82E+09,10.96974638,-1.40E-12,13853.54745,-941702.1442,5.80E+08,682.0577011,694.2540469,754,6084,1944.652767,1.45E+07,1.997049102,1918,13.15472202,556.4200538,309603.2763,56386.7391,3.06E+10,4.139820832,-6.46E-12,309561.8965,3.44E+08,1.26E+12,1807.324593,1874.915828,172.5,0.65113366,0.932628653,1.431188978,0.301280253,165.2564372,19.6468827,17.72956583,12.38799774,57.69848481,0.605263158,0.698719747,1.072238127,0.8625,2007,6084,3983.59596,788752,0.220810123,3928,2.182501602,967.8563672,936745.9476,1635.412259,3.33E+09,0.052874471,-4.13E-14,932014.9075,2.00E+08,1.92E+12,3744.718308,3864.771629,6084,3983.59596,788752,0.220810123,3928,2.182501602,967.8563672,936745.9476,3604,2090.945293,5886011,-0.764001122,2173,3.549731933,457.1862437,209019.2614,8,95,80,15,0,198,0,36,105,57,0,198,2,3,5,3,3,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#3#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,3,1,46.52571429,66.97714286,0.79651159,46.63236182,66.8034984,0.79651159,7301.5,0.826133858,0.951426781,1.574559544,0.364901757,220.6525431,121.2641744,120.9875405,76.83897444,333.2619767,0.790968091,0.635098243,1.051053029,0.989765487,267,1191,681.3276001,5070440,-0.224675778,688,2.956815386,116.0815217,13474.91968,48435.72026,3.55E+09,11.28630378,-9.31E-13,13473.10902,-351435.421,5.37E+08,659.3832795,670.7710535,341,6876,1624.905671,1.21E+07,2.617577656,1582,18.55508785,538.634987,290127.6492,54675.2,2.18E+10,5.03014816,-8.07E-12,290088.664,4.09E+08,1.56E+12,1479.479284,1551.290193,150,0.631654786,0.930574234,1.682948844,0.405804874,243.4349488,20.1246118,17.92817763,10.65283576,54.627417,0.584795322,0.594195126,1.074605296,0.857142857,2495,6876,3842.411429,672422,1.112750259,3496,3.569924207,959.8953798,921399.1401,1439.567526,2.74E+09,0.048011321,6.60E-13,916134.0022,9.84E+08,3.03E+12,3644.973674,3737.230645,6876,3842.411429,672422,1.112750259,3496,3.569924207,959.8953798,921399.1401,3078,1853.198745,4429145,0.466904777,1840,3.642084069,327.205582,107063.4929,0,0,9,105,61,175,0,0,0,29,146,175,4,4,5,5,5,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#5#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,5,1,46.56315789,44.42105263,0.917356551,46.81676725,44.50805769,0.917356551,8018,0.824562876,0.950906182,1.539344108,0.350372672,188.259438,125.2996409,125.3591221,81.43671156,349.5634919,0.733308945,0.649627328,1.051628456,0.983079941,263,859,551.7132542,4508049,-0.296575058,560,2.772578977,91.39726001,8353.459138,51462.98477,2.56E+09,15.27506361,-3.87E-13,8352.436808,-226430.0969,1.93E+08,534.9241227,543.6186794,514,5927,1603.960348,1.31E+07,2.633140187,1549,16.39128654,537.0119101,288381.7916,59934.16137,2.34E+10,5.561796327,2.43E-12,288346.4982,4.08E+08,1.36E+12,1469.12967,1533.004585,166,0.730007914,0.938119733,1.379607935,0.275156387,130.6012946,18.43908891,17.07603141,12.37745231,53.45584412,0.691666667,0.724843613,1.065962014,0.894878706,2714,5927,3915.842105,744010,0.708695158,3731,2.56789181,816.9699122,667439.8374,1567.93136,3.04E+09,0.050499762,1.87E-13,663926.9961,3.86E+08,1.14E+12,3762.393938,3836.325605,5927,3915.842105,744010,0.708695158,3731,2.56789181,816.9699122,667439.8374,3875,1771.17136,4403132,0.238172403,1797,3.737357121,455.8876406,207833.5408,0,0,0,37,153,190,0,0,0,0,190,190,5,5,5,5,5,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#6#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,6,1,45.33858268,64.68503937,0.619935274,45.25333064,64.63967101,0.619935274,5715,0.862644666,0.956044427,1.358166209,0.263713091,216.2852671,98.00510191,99.41218908,73.19589344,288.5340546,0.716820623,0.736286909,1.045976496,0.989182172,334,1378,768.7071123,4485406,-0.007720461,771,2.86363204,149.3476711,22304.72685,38655.15194,3.58E+09,7.913358771,-1.30E-12,22300.90428,-25718.08195,1.42E+09,737.3607299,753.481679,654,8662,1978.263068,1.15E+07,3.427217088,1915,26.37255382,699.7056307,489587.9697,44007.36372,2.57E+10,3.236865915,-8.18E-12,489504.0643,1.17E+09,6.32E+12,1802.669667,1885.530793,108.5,0.871379218,0.980854841,1.28756364,0.223339361,252.897271,13.60147051,13.33688113,10.35823063,39.55634919,0.723333333,0.776660639,1.019518851,0.977477477,2950,8662,5069.251969,643795,0.685468299,4621,2.297991937,1590.2422,2528870.253,1077.561368,3.58E+09,0.027403077,5.73E-14,2508957.889,2.76E+09,1.47E+13,4634.516002,4840.315488,8662,5069.251969,643795,0.685468299,4621,2.297991937,1590.2422,2528870.253,3829,2245.754376,3977231,-0.641863441,2339,3.299898414,477.7890926,228282.417,0,1,70,56,0,127,0,0,3,75,49,127,4,4,5,4,4,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#7#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,7,1,81.34170854,44.33165829,0.250470072,81.35395976,44.288156,0.250470072,7737,0.832680125,0.951932687,1.536418203,0.349135543,241.7625545,122.5887434,123.0257666,80.07309878,341.7056275,0.779228109,0.650864457,1.050494445,0.988880368,243,768,505.8514713,3988133,-0.431269906,515,2.99020958,83.41821831,6958.599147,48970.08882,2.07E+09,16.0850247,4.12E-13,6957.716524,-250340.9428,1.45E+08,490.1453463,498.3613015,804,7035,2034.902714,1.60E+07,2.241762671,1986,13.88897737,614.1688406,377203.3648,59756.4774,3.56E+10,4.180171442,7.31E-12,377155.5206,5.19E+08,1.98E+12,1886.047046,1957.575257,168,0.441980844,0.872482371,2.712237678,0.631300749,78.69006753,25.49509757,24.08649308,8.880671952,69.11269837,0.448,0.368699251,1.146154963,0.786885246,2646,7035,4307.462312,857185,0.704153494,4131,2.834667675,984.9195411,970066.5024,1660.316567,3.88E+09,0.04850144,1.65E-13,965191.7963,6.73E+08,2.67E+12,4102.970999,4201.93046,7035,4307.462312,857185,0.704153494,4131,2.834667675,984.9195411,970066.5024,3242,2046.589031,5448020,-0.676430833,2150,2.840653489,452.5721995,204821.5958,86,111,2,0,0,199,15,118,66,0,0,199,2,2,5,2,2,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#8#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,8,1,44.51898734,17.40506329,0.208288148,44.41723341,17.29673264,0.208288148,5847.5,0.738385692,0.949670625,2.061375225,0.514886961,204.9047688,123.4827923,123.884993,60.09822544,315.4629868,0.762653624,0.485113039,1.052996664,0.987503166,283,960,616.4966566,3687883,-0.451843386,629,3.015198182,106.8733376,11421.91029,38328.98479,2.34E+09,10.05389122,-1.17E-13,11420.00091,-551564.1708,3.93E+08,594.9935072,606.306898,781,6616,2103.816282,1.26E+07,2.569136216,2063,15.00227881,650.0441263,422557.3662,45539.80622,2.90E+10,3.064333981,1.81E-11,422486.728,7.06E+08,2.68E+12,1952.137084,2023.949586,206.5,0.59496901,0.93391859,2.047327104,0.511558266,210.5792269,25.55386468,23.20110691,11.33238888,66.04163056,0.60319299,0.488441734,1.070757141,0.853305785,2448,6616,4310.632911,1021620,0.185649048,4258,1.90669294,1111.12219,1234592.521,1975.326019,4.70E+09,0.058920027,1.11E-13,1229383.27,2.55E+08,2.91E+12,4022.401387,4165.988823,6616,4310.632911,1021620,0.185649048,4258,1.90669294,1111.12219,1234592.521,3231,2133.221664,4667489,-1.140583418,2228,4.024505691,437.1694074,191117.0908,128,101,8,0,0,237,64,116,55,2,0,237,1,1,5,2,2,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#9#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,9,1,15.73809524,39,0.206724539,15.52479925,39.24949688,0.206724539,5277.5,0.792279899,0.95018785,1.70215095,0.412508039,231.009006,108.0740487,106.9469038,62.83044629,289.3208512,0.676342432,0.587491961,1.052423476,0.985159604,335,1167,705.7046843,3811511,-0.308689337,722,2.829571318,125.524653,15756.43851,35333.15264,2.77E+09,7.936154988,4.59E-13,15753.52119,-610532.4001,7.02E+08,680.5562654,693.6482172,718,6294,2072.483799,1.12E+07,1.82129864,1997,9.579784722,652.000277,425104.3613,41012.52645,2.55E+10,2.834569616,-4.16E-12,425025.6528,5.05E+08,1.73E+12,1905.4039,1985.261853,105,0.547030537,0.974020531,2.994546152,0.66605958,236.3099325,21.63330765,20.00853145,6.681657399,49.11269837,0.546875,0.33394042,1.026672404,0.9375,2263,3749,2780.261905,350313,1.363575362,2713,4.751532616,306.9362977,94209.89086,998.5147255,9.86E+08,0.045809768,1.73E-13,93462.19331,3.94E+07,4.22E+10,2750.505098,2764.790226,6294,3722.14,1116642,0.454336498,3596,2.072356736,999.7647652,999529.5857,3867,2191.429459,3526010,-0.502803534,2280,3.067162907,540.8055629,292470.6569,66,60,0,0,0,126,9,90,27,0,0,126,1,1,5,2,2,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#9#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,9,2,50.70689655,45.14367816,0.762985051,50.63327631,45.20004463,0.762985051,5277.5,0.792279899,0.95018785,1.70215095,0.412508039,231.009006,108.0740487,106.9469038,62.83044629,289.3208512,0.676342432,0.587491961,1.052423476,0.985159604,335,1167,705.7046843,3811511,-0.308689337,722,2.829571318,125.524653,15756.43851,35333.15264,2.77E+09,7.936154988,4.59E-13,15753.52119,-610532.4001,7.02E+08,680.5562654,693.6482172,718,6294,2072.483799,1.12E+07,1.82129864,1997,9.579784722,652.000277,425104.3613,41012.52645,2.55E+10,2.834569616,-4.16E-12,425025.6528,5.05E+08,1.73E+12,1905.4039,1985.261853,152,0.780940982,0.963867131,1.509078707,0.33734404,156.3706223,17.4642492,17.08963546,11.3245488,49.45584412,0.63973064,0.66265596,1.037487396,0.941176471,3112,6294,4404.189655,766329,0.306888793,4355,2.182272656,738.5379274,545438.2702,1457.495754,3.47E+09,0.040618508,1.67E-13,542303.5675,1.24E+08,6.49E+11,4283.761435,4343.398468,6294,3722.14,1116642,0.454336498,3596,2.072356736,999.7647652,999529.5857,3867,2191.429459,3526010,-0.502803534,2280,3.067162907,540.8055629,292470.6569,0,0,41,72,61,174,0,0,0,50,124,174,4,4,5,5,5,5
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#10#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D03,1,1,X,18,Y,X,18,Y,FarRed,XY,10,1,74.38427948,35.24017467,0.704363346,74.37833726,35.24693434,0.704363346,16596.5,0.554347183,0.82346615,1.464096642,0.316984978,260.5890181,183.4693435,175.8928504,120.137459,613.3696244,0.69397014,0.683015022,1.214379,0.888558732,228,1005,602.0351169,1.01E+07,-0.258568498,611,2.86547428,105.8371597,11201.50437,107614.4628,6.30E+09,29.00396716,9.81E-13,11200.83991,-306542.1095,3.60E+08,581.2308333,592.0459331,366,9054,1946.811247,3.28E+07,2.304290723,1894,17.50132405,602.9630997,363564.4996,126979.5039,7.00E+10,9.409936222,6.45E-12,363542.9333,5.05E+08,2.31E+12,1791.510548,1867.394521,203.5,0.746557147,0.961166248,1.887187906,0.47011106,210.0685828,21.9544984,22.11285603,11.71735786,58.52691193,0.741618076,0.52988894,1.040402742,0.946511628,2839,9054,4552.117904,1042435,1.192895231,4234,4.109704718,1277.458455,1631900.104,1920.98759,5.12E+09,0.053740749,-9.85E-13,1624773.903,2.49E+09,1.09E+13,4261.198523,4396.623316,9054,3769.312245,1846963,1.260701279,3539,5.05346845,1260.933339,1589952.886,3827,2135.073461,1.10E+07,-0.039356031,2159,2.969470522,542.6894638,294511.8541,0,0,72,157,0,229,0,0,0,70,159,229,4,4,5,5,5,5
