row ID,NewRowID,Common Filename,Well Position,TimePoint,FieldNumber,Green Probe,Red Probe,Far Red Probe,Green Probe Detect,Red Probe Detect,Far Red Probe Detect,Karyotype,CT Probe Color,NucleusID,CT Label,Volume (in pixel units) (Geometric Features 3D),Volume of Convex Hull (Geometric Features 3D),Minimum (Statistic Features),Maximum (Statistic Features),Mean (Statistic Features),Sum (Statistic Features),Skewness (Statistic Features),Median (Statistic Features),Kurtosis (Statistic Features),Standard Deviation (Statistic Features),Variance (Statistic Features),Harmonic Mean (Statistic Features),Geometric Mean (Statistic Features),Dimension 0 (Centroid),Dimension 1 (Centroid),Dimension 2 (Centroid),Center of Gravity in Dimension#0 (Center of Gravity),Center of Gravity in Dimension#1 (Center of Gravity),Center of Gravity in Dimension#2 (Center of Gravity),Volume (in pixel units) (Geometric Features 3D) (CT),Volume of Convex Hull (Geometric Features 3D) (CT),Minimum (Statistic Features) (CT),Maximum (Statistic Features) (CT),Mean (Statistic Features) (CT),Sum (Statistic Features) (CT),Skewness (Statistic Features) (CT),Median (Statistic Features) (CT),Kurtosis (Statistic Features) (CT),Standard Deviation (Statistic Features) (CT),Variance (Statistic Features) (CT),Harmonic Mean (Statistic Features) (CT),Geometric Mean (Statistic Features) (CT)
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#16#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#16,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,16,1,49296,50212.54167,0,899,460.5828262,2.27E+07,-0.108929015,457,3.16059138,127.8162572,16336.99559,0,0,48.22496662,56.13284379,3.018691589,48.23896786,56.19047313,2.879694715,1498,1690.333333,1674,6518,3531.813752,5290657,0.610111613,3420,2.951349449,915.706469,838518.3374,3307.593849,3417.602504
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#17#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#17,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,17,1,86165,89055.08333,0,994,481.8537225,4.15E+07,-0.040437341,478,3.144307101,129.9438165,16885.39544,0,0,90.21967213,41.55737705,2.806557377,90.15167325,41.54434663,2.49784421,610,615.8333333,1799,7188,3893.821311,2375231,0.571938594,3761,2.774372806,1113.216229,1239250.374,3593.007561,3740.257357
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#17#1#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#17,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,17,2,86165,89055.08333,0,994,481.8537225,4.15E+07,-0.040437341,478,3.144307101,129.9438165,16885.39544,0,0,96.36520241,61.86821705,2.750215332,96.25802225,61.61919984,2.57987976,1161,1196.5,1556,10361,4345.177433,5044751,1.242608549,3817,4.070828985,1604.977875,2575953.981,3884.912835,4095.160905
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,18,1,42507,44427.16667,0,1124,507.5056344,2.16E+07,0.200582328,497,2.7838519,179.5920931,32253.31989,0,0,90.57068063,16.26701571,3.5,90.47476688,16.41539857,3.623093117,1528,1531.916667,1375,3165,2211.822644,3379665,-0.102839316,2242,2.138719488,371.9240958,138327.533,2146.088547,2179.442049
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18#1#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,18,2,42507,44427.16667,0,1124,507.5056344,2.16E+07,0.200582328,497,2.7838519,179.5920931,32253.31989,0,0,82.32061069,35.84732824,3.5,82.15137909,35.84729904,3.408952494,1048,1034.416667,1227,10866,3194.938931,3348296,2.097256247,2714,7.863850216,1552.478532,2410189.593,2738.408234,2930.198291
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18#1#3,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,18,3,42507,44427.16667,0,1124,507.5056344,2.16E+07,0.200582328,497,2.7838519,179.5920931,32253.31989,0,0,68.88372093,52.3255814,3.5,68.7807388,52.03569388,3.438630751,1032,1018.416667,1274,5175,2494.944767,2574783,0.74347334,2444,3.967484301,621.0432744,385694.7486,2349.496845,2421.043882
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18#1#4,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,18,4,42507,44427.16667,0,1124,507.5056344,2.16E+07,0.200582328,497,2.7838519,179.5920931,32253.31989,0,0,17.36729223,69.12935657,3.45308311,17.36933656,69.4326039,3.338133573,1492,1577.208333,867,2941,1876.023458,2799027,-0.120759101,1882,2.410502744,427.9277757,183122.1812,1766.555576,1823.422704
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18#1#5,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,18,5,42507,44427.16667,0,1124,507.5056344,2.16E+07,0.200582328,497,2.7838519,179.5920931,32253.31989,0,0,41.46917667,85.57964419,3.553992553,41.43712397,85.54429339,4.156541582,2417,3038.916667,922,4181,2063.309888,4987020,0.145673567,2133,2.332194206,633.7581024,401649.3323,1855.318809,1960.777378
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18#1#6,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#18,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,18,6,42507,44427.16667,0,1124,507.5056344,2.16E+07,0.200582328,497,2.7838519,179.5920931,32253.31989,0,0,12.14383562,110.6643836,3.5,11.99503387,110.701292,3.872586991,1168,1153.916667,937,3103,2117.251712,2472950,-0.357967046,2183,2.100861059,508.5887863,258662.5536,1973.894942,2049.038299
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#19#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#19,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,19,1,50158,51611.70833,0,839,390.7491527,1.96E+07,0.039438791,387,3.119146029,113.6069653,12906.54257,0,0,51.63953488,40.87790698,3.5,51.6768422,40.82640423,3.672339959,1376,1361.666667,1637,6653,3735.543605,5140108,0.390150686,3625,2.354351331,991.0094737,982099.777,3478.401785,3605.548209
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#2#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,2,1,57837,59113.29167,0,1059,552.9978042,3.20E+07,-0.319024846,562,3.131376522,156.2806196,24423.63208,0,0,51.19002933,17.30967742,3.220527859,51.16652732,17.79046753,3.234707143,1705,1817.625,843,6084,2930.795308,4997006,0.71465714,2737,3.143619119,992.8808896,985812.461,2610.119226,2768.992413
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#20#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#20,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,20,1,48741,49884.33333,0,875,401.1251103,1.96E+07,0.023744403,396,3.056775842,116.1517592,13491.23117,0,0,77.5892317,55.42891712,3.37507562,77.67630444,55.42072702,3.32231141,1653,1915.416667,797,4804,2382.865699,3938877,0.433226969,2342,2.937529278,692.4156334,479439.4093,2180.057385,2281.794832
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#21#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#21,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,21,1,59061,60560.29167,0,699,325.6764193,1.92E+07,-0.123535201,325,2.931492312,96.42770497,9298.302287,0,0,24.5374269,37.22163743,2.955555556,25.25632373,36.72444354,2.749887619,1710,2144.541667,892,3723,2019.036257,3452552,0.154414561,2012,2.564349778,504.2706589,254288.8975,1885.417599,1953.562039
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#21#1#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#21,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,21,2,59061,60560.29167,0,699,325.6764193,1.92E+07,-0.123535201,325,2.931492312,96.42770497,9298.302287,0,0,46.07514451,53.93641618,2.965317919,46.05218893,53.96145572,2.758358265,865,856.625,1506,7191,3190.984971,2760202,0.934264985,3013,3.92263586,956.0019763,913939.7787,2938.03354,3059.525923
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#22#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#22,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,22,1,57593,58720.41667,0,724,367.2051291,2.11E+07,-0.266092694,370,3.009643607,102.1644517,10437.57519,0,0,27.4732254,48.8132005,3.338729763,27.59896896,48.81986928,3.3678464,803,806.9166667,1035,5291,2670.780822,2144637,0.782275957,2546,3.234463418,813.1619524,661232.3609,2446.133293,2554.911063
