row ID,NewRowID,Common Filename,Well Position,TimePoint,FieldNumber,Green Probe,Red Probe,Far Red Probe,Green Probe Detect,Red Probe Detect,Far Red Probe Detect,Karyotype,CT Probe Color,NucleusID,CT Label,Volume (in pixel units) (Geometric Features 3D),Volume of Convex Hull (Geometric Features 3D),Minimum (Statistic Features),Maximum (Statistic Features),Mean (Statistic Features),Sum (Statistic Features),Skewness (Statistic Features),Median (Statistic Features),Kurtosis (Statistic Features),Standard Deviation (Statistic Features),Variance (Statistic Features),Harmonic Mean (Statistic Features),Geometric Mean (Statistic Features),Dimension 0 (Centroid),Dimension 1 (Centroid),Dimension 2 (Centroid),Center of Gravity in Dimension#0 (Center of Gravity),Center of Gravity in Dimension#1 (Center of Gravity),Center of Gravity in Dimension#2 (Center of Gravity),Volume (in pixel units) (Geometric Features 3D) (CT),Volume of Convex Hull (Geometric Features 3D) (CT),Minimum (Statistic Features) (CT),Maximum (Statistic Features) (CT),Mean (Statistic Features) (CT),Sum (Statistic Features) (CT),Skewness (Statistic Features) (CT),Median (Statistic Features) (CT),Kurtosis (Statistic Features) (CT),Standard Deviation (Statistic Features) (CT),Variance (Statistic Features) (CT),Harmonic Mean (Statistic Features) (CT),Geometric Mean (Statistic Features) (CT)
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#1#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,1,1,45294,46931.5,0,1100,514.9947675,2.33E+07,-0.106740507,516,2.966955034,141.9964972,20163.00523,0,0,66.25538462,24.14276923,3.364307692,66.2281021,24.25216586,3.34631316,1625,1717.625,1184,5437,2897.482462,4708409,0.489394385,2795,2.756903724,806.8234014,650964.0011,2677.397543,2786.760391
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#10#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#10,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,10,1,131548,148728.0417,0,1005,467.0038465,6.14E+07,0.083199152,464,2.671341623,128.9264646,16622.03328,0,0,74.38181818,35.55611285,2.801253918,74.41623853,35.47281434,2.626030497,1595,1687.833333,1715,9054,3601.071473,5743709,1.212974313,3351,4.701030155,1180.874054,1394463.531,3282.928877,3432.008596
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#10#1#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#10,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,10,2,131548,148728.0417,0,1005,467.0038465,6.14E+07,0.083199152,464,2.671341623,128.9264646,16622.03328,0,0,117.5063099,86.63250883,3.159515396,117.729528,87.26995427,3.140838196,1981,2504.583333,812,5196,2366.38314,4687805,0.816880612,2240,3.556437634,738.9389035,546030.7031,2156.631233,2258.29959
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#11#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#11,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,11,1,49576,51737.91667,0,830,441.8831088,2.19E+07,-0.287833194,444,3.31075736,117.8350516,13885.09938,0,0,96.66718266,44.34210526,2.944272446,97.11033528,44.15512454,2.7998652,646,677.625,1285,6439,2955.879257,1909498,1.021608178,2768,3.975452491,918.7411058,844085.2195,2708.418858,2826.820544
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#11#1#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#11,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,11,2,49576,51737.91667,0,830,441.8831088,2.19E+07,-0.287833194,444,3.31075736,117.8350516,13885.09938,0,0,15.5133418,74.90724269,2.878017789,15.55844576,74.74035453,2.733045336,787,843.25,1074,3689,2151.301144,1693074,0.207466194,2137,2.809011939,481.0874895,231445.1726,2039.196433,2096.152102
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#12#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#12,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,12,1,39759,40924.08333,0,1165,555.5532835,2.21E+07,0.237305357,543,3.01306758,180.7849711,32683.20577,0,0,46.5,34.5,3.5,46.58468989,34.45881206,3.74126854,1184,1169.666667,1682,4718,3028.327703,3585540,0.066131179,3051,2.034389061,661.955236,438184.7344,2878.538684,2954.010545
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#13#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#13,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,13,1,93727,121288.4583,0,1263,431.3754734,4.04E+07,0.356198993,420,3.409080404,141.0740587,19901.89004,0,0,67.15228666,44.6892975,3.303630363,67.37845155,44.48930931,3.257025815,2121,2285.958333,1088,6179,3044.792551,6458005,0.714991763,2880,3.159690647,919.6859136,845822.1796,2785.493464,2912.528317
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#13#1#2,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#13,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,13,2,93727,121288.4583,0,1263,431.3754734,4.04E+07,0.356198993,420,3.409080404,141.0740587,19901.89004,0,0,70.96437055,114.2248614,2.683293745,70.39854262,114.2963164,2.66455747,1263,1440.958333,1479,7568,3355.086302,4237474,1.12306322,3039,3.875833481,1179.369587,1390912.622,3019.076386,3174.936837
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#14#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#14,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,14,1,56542,58097.83333,0,1036,515.2317216,2.91E+07,-0.095400496,514,3.141186235,141.903282,20136.54145,0,0,30.2031893,44.20781893,3.194958848,30.58751001,44.30138269,3.216536739,1944,2198.083333,1300,6670,2787.253086,5418420,1.295678856,2608,5.008475105,918.0914128,842891.8422,2541.955778,2656.628006
/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#15#1#1,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall#15,/data/gudlap/ziad/161122-EXP13-03-57-64_20161122_113217/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D03_T0001F001Zall, D03,1,1,X,18,Y,X,18,Y,XY,FarRed,15,1,28447,33251.25,0,1338,577.665202,1.64E+07,0.413527444,521,2.284460025,247.1867993,61101.31377,0,0,7.248861912,81.1016692,3.526555387,6.926608959,81.35279552,3.87727354,1318,1442.375,1678,8370,4595.697269,6057129,0.370254069,4443,2.431802114,1282.018689,1643571.918,4238.962495,4416.828323
