row ID,Common Filename,Parent folder,File extension,Well Position,TimePoint,FieldNumber,Green Probe,Red Probe,Far Red Probe,Green Probe Detect,Red Probe Detect,Far Red Probe Detect,CT Probe Color,Karyotype,NucleusID,CTID,Dimension 0 (Centroid),Dimension 1 (Centroid),Normalized Centriod DistanceMap,Center of Gravity in Dimension#0 (Center of Gravity),Center of Gravity in Dimension#1 (Center of Gravity),Normalized Center of Gravity DistanceMap,Size (Geometric Features 2D),Circularity (Geometric Features 2D),Convexity (Geometric Features 2D),Eccentricity (Geometric Features 2D),Main Elongation (Geometric Features 2D),Ferets Angle (Geometric Features 2D),Ferets Diameter (Geometric Features 2D),Major Axis (Geometric Features 2D),Minor Axis (Geometric Features 2D),Boundary Size (Geometric Features 2D),Boxivity (Geometric Features 2D),Roundness (Geometric Features 2D),Rugosity (Geometric Features 2D),Solidity (Geometric Features 2D),Minimum (Statistic Features),Maximum (Statistic Features),Mean (Statistic Features),Sum (Statistic Features),Skewness (Statistic Features),Median (Statistic Features),Kurtosis (Statistic Features),Standard Deviation (Statistic Features),Variance (Statistic Features),Sum Of Logs (Statistic Features),Sum Of Squares (Statistic Features),Sum Of Inverses (Statistic Features),Moment 1 About Mean (Statistic Features),Moment 2 About Mean (Statistic Features),Moment 3 About Mean (Statistic Features),Moment 4 About Mean (Statistic Features),Harmonic Mean (Statistic Features),Geometric Mean (Statistic Features),Minimum (Statistic Features) (CT Channel),Maximum (Statistic Features) (CT Channel),Mean (Statistic Features) (CT Channel),Sum (Statistic Features) (CT Channel),Skewness (Statistic Features) (CT Channel),Median (Statistic Features) (CT Channel),Kurtosis (Statistic Features) (CT Channel),Standard Deviation (Statistic Features) (CT Channel),Variance (Statistic Features) (CT Channel),Sum Of Logs (Statistic Features) (CT Channel),Sum Of Squares (Statistic Features) (CT Channel),Sum Of Inverses (Statistic Features) (CT Channel),Moment 1 About Mean (Statistic Features) (CT Channel),Moment 2 About Mean (Statistic Features) (CT Channel),Moment 3 About Mean (Statistic Features) (CT Channel),Moment 4 About Mean (Statistic Features) (CT Channel),Harmonic Mean (Statistic Features) (CT Channel),Geometric Mean (Statistic Features) (CT Channel),Size (Geometric Features 2D)_CT,Circularity (Geometric Features 2D)_CT,Convexity (Geometric Features 2D)_CT,Eccentricity (Geometric Features 2D)_CT,Main Elongation (Geometric Features 2D)_CT,Ferets Angle (Geometric Features 2D)_CT,Ferets Diameter (Geometric Features 2D)_CT,Major Axis (Geometric Features 2D)_CT,Minor Axis (Geometric Features 2D)_CT,Boundary Size (Geometric Features 2D)_CT,Boxivity (Geometric Features 2D)_CT,Roundness (Geometric Features 2D)_CT,Rugosity (Geometric Features 2D)_CT,Solidity (Geometric Features 2D)_CT,Minimum (Statistic Features)_CT,Maximum (Statistic Features)_CT,Mean (Statistic Features)_CT,Sum (Statistic Features)_CT,Skewness (Statistic Features)_CT,Median (Statistic Features)_CT,Kurtosis (Statistic Features)_CT,Standard Deviation (Statistic Features)_CT,Variance (Statistic Features)_CT,Sum Of Logs (Statistic Features)_CT,Sum Of Squares (Statistic Features)_CT,Sum Of Inverses (Statistic Features)_CT,Moment 1 About Mean (Statistic Features)_CT,Moment 2 About Mean (Statistic Features)_CT,Moment 3 About Mean (Statistic Features)_CT,Moment 4 About Mean (Statistic Features)_CT,Harmonic Mean (Statistic Features)_CT,Geometric Mean (Statistic Features)_CT,Maximum (Statistic Features)_AllCTs,Mean (Statistic Features)_AllCTs,Sum (Statistic Features)_AllCTs,Skewness (Statistic Features)_AllCTs,Median (Statistic Features)_AllCTs,Kurtosis (Statistic Features)_AllCTs,Standard Deviation (Statistic Features)_AllCTs,Variance (Statistic Features)_AllCTs,Maximum (Statistic Features)_XORAllCTs,Mean (Statistic Features)_XORAllCTs,Sum (Statistic Features)_XORAllCTs,Skewness (Statistic Features)_XORAllCTs,Median (Statistic Features)_XORAllCTs,Kurtosis (Statistic Features)_XORAllCTs,Standard Deviation (Statistic Features)_XORAllCTs,Variance (Statistic Features)_XORAllCTs,NumPixelsdistantShell1,NumPixelsdistantShell2,NumPixelsdistantShell3,NumPixelsdistantShell4,NumPixelsdistantShell5,NumPixelsAlldistantShells,NumPixelsareaShell1,NumPixelsareaShell2,NumPixelsareaShell3,NumPixelsareaShell4,NumPixelsareaShell5,NumPixelsAllareaShells,CentriodDistanceShellNumber,CenterofGravityDistanceShellNumber,TotalNumberofDistanceShells,CentriodAreaShellNumber,CenterofGravityAreaShellNumber,TotalNumberofAreaShells
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#1#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,1,1,17.03636364,25.47272727,0.244822979,17.35642376,25.77778519,0.244822979,11204.5,0.822726892,0.953510034,1.584243474,0.368783892,123.6900675,151.4331536,150.3357482,94.89434585,413.6883835,0.69818669,0.631216108,1.048756661,0.991636428,771,2671,1524.646981,1.73E+07,0.36266921,1511,3.359490572,236.0865028,55736.83678,83266.12653,2.71E+10,7.645867131,1.35E-11,55731.93856,4772260.73,1.04E+10,1488.255002,1506.472102,5,212,28.42710256,323472,4.450140353,27,40.84146071,12.68611933,160.9376236,37319.95551,1.10E+07,454.5442088,5.15E-13,160.9234802,9085.7354,1057831.353,25.03386861,26.56838302,142.5,0.715091842,0.949617111,1.390008724,0.280580055,70.55996517,18.02775638,15.88075898,11.42493475,50.04163056,0.698529412,0.719419945,1.053056003,0.913461538,28,212,90.9030303,14999,0.628097957,84,2.500744884,40.61437092,1649.527125,727.6429909,1633977,2.216145444,-7.23E-15,1639.529991,42079.11267,6804376.125,74.4535971,82.2659688,212,90.9030303,14999,0.628097957,84,2.500744884,40.61437092,1649.527125,78,26.87516495,101830,1.001091233,26,4.606281435,9.307261659,86.62511959,63,102,0,0,0,165,20,75,70,0,0,165,2,2,5,2,2,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#2#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,2,1,82.45132743,85.20353982,0.331077248,82.64692289,84.83629287,0.351460457,10177,0.863346771,0.954039125,1.350931174,0.259769839,149.5564243,132.2308587,132.306615,97.93734689,384.8772004,0.80054054,0.740230161,1.048175043,0.990510487,1410,4162,2942.110091,3.04E+07,-0.786580988,3022,3.441212761,433.7173207,188110.7143,82505.65836,9.15E+10,3.610015683,-2.53E-12,188092.5323,-6.42E+07,1.22E+11,2865.915527,2906.32066,8,157,39.21670211,405736,1.020747141,38,6.626995933,12.43587381,154.6509574,37449.84426,1.75E+07,291.9964909,-4.39E-15,154.6360095,1963.121102,158497.3224,35.43193265,37.3279126,94,0.703710221,0.962031195,1.456017233,0.313194942,213.6900675,14.4222051,13.20086056,9.066417803,40.97056275,0.707175926,0.686805058,1.039467333,0.895238095,34,157,72.76106195,8222,1.200284055,67,4.478499618,23.29096788,542.4691846,479.3085504,658998,1.695912595,-2.52E-15,537.6685723,15165.14775,1317900.695,66.63079236,69.52376162,157,72.76106195,8222,1.200284055,67,4.478499618,23.29096788,542.4691846,94,37.09587786,121489,0.5702011,36,3.436612528,11.78793341,138.955374,2,93,18,0,0,113,0,23,78,12,0,113,2,2,5,3,3,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#3#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,3,1,35.54135338,45.79699248,0.817823172,35.56307912,45.81236636,0.817823172,8348,0.821437251,0.953726356,1.553364624,0.356236144,114.145542,127.1219887,128.4940402,82.71981878,357.3624817,0.765245106,0.643763856,1.048518785,0.98240659,873,2794,1594.788638,1.36E+07,0.298907647,1594,3.946558127,237.5581695,56433.88392,62602.59303,2.21E+10,5.453875429,-7.31E-13,56427.2462,4007254.603,1.26E+10,1558.891491,1576.998141,7,193,34.93401553,297009,2.387358947,33,18.38684099,13.17285292,173.524054,29695.42036,1.19E+07,274.5217803,1.75E-13,173.5036442,5457.041411,553638.7648,30.97022026,32.87646461,114,0.703909953,0.955900732,1.919130814,0.478930778,72.64597536,16.76305461,16.69013211,8.696714152,45.11269837,0.748484848,0.521069222,1.046133731,0.93442623,24,193,84.39097744,11224,1.15377034,76,4.046816925,31.69978362,1004.876282,581.5035052,1079848,1.784115359,5.13E-15,997.3208208,36752.61656,4086379.989,74.54674908,79.21825827,193,84.39097744,11224,1.15377034,76,4.046816925,31.69978362,1004.876282,95,35.47311396,88399,0.620493415,34,3.264991747,12.0182719,144.4388593,0,0,0,61,72,133,0,0,0,0,133,133,5,5,5,5,5,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#4#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,4,1,60.75609756,95.7195122,0.333716601,60.28201949,95.07750221,0.333716601,9465,0.8450726,0.954516477,1.47801663,0.323417626,235.6011549,134.5250906,133.461201,90.29749619,375.1614716,0.75282205,0.676582374,1.047650851,0.987583472,1357,4717,3054.845091,2.94E+07,-0.564524545,3141,2.866348217,529.0988952,279945.6409,77073.7767,9.25E+10,3.266160484,1.46E-11,279916.5556,-8.36E+07,2.25E+11,2946.885203,3003.895158,9,167,40.75002597,392219,1.262385252,40,8.928939655,12.76374523,162.9131923,35228.87293,1.76E+07,260.3045181,-1.69E-13,162.8962662,2624.981776,236980.3821,36.9759237,38.86688653,135.5,0.398645637,0.808234083,1.396077719,0.2837075,188.5307656,20.22374842,15.5195636,11.11654701,65.35533906,0.516694568,0.7162925,1.237265319,0.686075949,33,167,68.84146341,11290,1.679355852,63,6.386983775,24.71082796,610.6250187,685.3358931,876752,2.630732611,-2.50E-14,606.9016954,25339.88406,2381469.379,62.34004905,65.29251448,167,68.84146341,11290,1.679355852,63,6.386983775,24.71082796,610.6250187,104,40.81085581,122555,0.475041018,40,3.742270818,12.22529687,149.4578834,41,98,25,0,0,164,0,59,82,23,0,164,2,2,5,3,3,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#5#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,5,1,39.56,4.66,0.112776771,39.56815479,4.296616582,0.112776771,7698.5,0.790231655,0.956885414,1.824705582,0.451966383,129.136128,131.5028517,133.7379053,73.29286796,349.8893937,0.726383228,0.548033617,1.045057209,0.987430257,861,2677,1785.52435,1.40E+07,-0.251895857,1812,2.870602265,272.1063433,74041.86209,58634.80158,2.56E+10,4.507291703,4.71E-13,74032.42279,-5075011.402,1.57E+10,1740.291181,1763.604383,6,205,34.14303927,267818,3.786299362,33,37.37413309,12.78498174,163.455758,27268.40355,1.04E+07,255.424774,-1.76E-13,163.4349197,7912.528443,998554.0458,30.70962882,32.34110607,82,0.708294231,0.968869229,1.953148969,0.488006283,34.69515353,15.8113883,14.28004809,7.311294894,38.14213562,0.644888082,0.511993717,1.032131035,0.953488372,33,205,92.51,9251,0.932702846,80,3.026471636,42.67625247,1821.262525,442.9254906,1036115,1.307629462,4.12E-15,1803.0499,72494.011,1.00E+07,76.4742635,83.86890341,205,92.51,9251,0.932702846,80,3.026471636,42.67625247,1821.262525,85,33.0682053,95997,0.508554079,32,3.567869105,9.864912785,97.31650426,94,6,0,0,0,100,61,39,0,0,0,100,1,1,5,1,1,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#6#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,6,1,76.67901235,93.00617284,0.257316172,76.46337553,92.71409283,0.281390995,7153,0.824456727,0.952797819,1.558858198,0.358504833,125.0316438,118.460964,119.152313,76.43563295,330.1909089,0.688781897,0.641495167,1.049540605,0.988871224,833,3279,1941.835596,1.42E+07,0.432861487,1920,3.487348135,359.5622304,129284.9975,55092.78634,2.84E+10,3.888815932,1.15E-12,129267.2702,2.01E+07,5.83E+10,1875.37804,1908.74414,7,185,34.43013849,251099,2.332579158,33,17.30013778,12.54233454,157.3101557,25396.68651,9792479,236.8364391,-1.58E-13,157.2885857,4602.26405,428117.6017,30.79340336,32.53568151,139.5,0.723803703,0.946710573,1.211051367,0.174271194,161.5650512,15.8113883,14.66639729,12.11046673,49.21320344,0.640495868,0.825728806,1.056289037,0.888535032,28,185,73.14814815,11850,1.103854066,64,3.953378002,29.57131022,874.4623879,683.4561161,1007594,2.553915486,-4.21E-15,869.0644719,28544.56069,3023086.753,63.43201288,67.95630424,185,73.14814815,11850,1.103854066,64,3.953378002,29.57131022,874.4623879,84,35.0247117,85040,0.713992813,34,3.765282562,10.8060879,116.7715358,71,81,10,0,0,162,25,73,60,4,0,162,2,2,5,2,3,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#7#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,7,1,22.79141104,12.90184049,0.149434835,22.56305426,13.04193597,0.169148758,7374.5,0.791609846,0.950156544,1.745582701,0.427125395,84.64417496,128.5612694,128.0240506,73.34172741,342.1492783,0.740963037,0.572874605,1.052458152,0.988207705,1336,3925,2484.480595,1.87E+07,0.091110569,2492,3.133097075,366.4033435,134251.4101,58737.31579,4.75E+10,3.098128949,-4.14E-12,134233.567,4481743.95,5.65E+10,2428.562569,2456.912578,4,219,33.40510367,251340,3.101877067,31,24.07631184,14.0348271,196.9763717,25882.46391,9877892,257.6842446,1.63E-13,196.9501919,8575.230096,934153.4598,29.19852555,31.18655987,141,0.775517387,0.969453134,1.802188264,0.445119014,209.3577535,18.35755975,17.98724683,9.980781247,47.79898987,0.712121212,0.554880986,1.031509379,0.952702703,30,219,81.63190184,13306,1.100285564,73,4.044811686,35.6192064,1268.727865,703.3235038,1291728,2.371129853,-1.39E-14,1260.944258,49723.09262,6510813.624,68.74359908,74.80375778,219,81.63190184,13306,1.100285564,73,4.044811686,35.6192064,1268.727865,105,33.3805205,84653,0.902853399,32,5.058089169,11.51330245,132.5561332,112,51,0,0,0,163,60,83,20,0,0,163,1,1,5,2,2,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#8#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,8,1,83.02352941,21.02352941,0.578000069,83.06204947,21.18487633,0.578000069,6476.5,0.805797076,0.95018525,1.577144441,0.365942666,191.0171116,115.1216748,114.04099,72.30852616,317.8061325,0.695742747,0.634057334,1.052426355,0.983373823,1276,4101,2671.105398,1.77E+07,-0.097147216,2691,3.054953557,421.5282041,177686.0269,52091.58227,4.84E+10,2.54376158,-1.08E-12,177659.1576,-7276294.57,9.65E+10,2599.693325,2636.343994,3,208,37.75336458,249663,2.199297673,36,18.05749906,13.15504325,173.055163,23658.23742,1.06E+07,195.1139457,-6.50E-14,173.028994,5006.807059,540787.5968,33.89301556,35.78521314,70,0.851448619,0.972287843,1.165480768,0.141984984,123.6900675,10.81665383,10.19193476,8.744833067,32.14213562,0.723140496,0.858015016,1.02850201,0.965517241,35,208,83.23529412,7075,1.215268411,70,3.960141122,35.92937751,1290.920168,369.0402244,697327,1.187771184,-7.69E-15,1275.732872,56366.52848,6599475.703,71.56260494,76.83418811,208,83.23529412,7075,1.215268411,70,3.960141122,35.92937751,1290.920168,109,39.32112274,82653,0.656975325,38,3.860795583,12.29841243,151.2509482,0,0,54,31,0,85,0,0,0,60,25,85,3,3,5,4,4,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#9#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,9,1,97.30909091,99.90909091,0.072127052,97.8063294,100.2123914,0.072127052,9336.5,0.787074697,0.951175932,1.735653925,0.423848277,120.9637565,145.7737974,143.6410852,82.75905876,386.0904038,0.76403437,0.576151723,1.051330218,0.987989418,758,2274,1518.111965,1.44E+07,-0.321999823,1533,3.531389486,199.2357247,39694.87401,69524.57602,2.23E+10,6.380138828,2.54E-12,39690.69692,-2546579.716,5.56E+09,1489.466022,1504.274628,6,218,32.08902452,304942,4.656284572,30,45.7032494,13.41906947,180.0714255,32392.49603,1.15E+07,331.666372,1.30E-13,180.0524766,11251.40399,1481960.69,28.65228676,30.22471614,40,0.540865699,0.976625365,2.974451434,0.663803554,261.2538377,13.15294644,12.30802858,4.137915463,30.48528137,0.769230769,0.336196446,1.023934086,0.952380952,33,218,81.58181818,4487,1.522274005,62,4.585484808,47.57749659,2263.618182,234.7753324,488293,0.858987264,1.19E-14,2222.461488,163944.7794,2.35E+07,64.02888878,71.42460425,218,83.63,16726,1.164885796,70,3.745333323,43.17654654,1864.214171,99,31.11202435,102203,0.970095463,30,5.406375602,9.383537932,88.05078412,55,0,0,0,0,55,55,0,0,0,0,55,1,1,5,1,1,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall#9#2,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_E06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, E06,1,1,X,Y,Xist,X,,Xist,FarRed,XX,9,2,47.84137931,120.2827586,0.153946161,47.98692704,120.1884958,0.153946161,9336.5,0.787074697,0.951175932,1.735653925,0.423848277,120.9637565,145.7737974,143.6410852,82.75905876,386.0904038,0.76403437,0.576151723,1.051330218,0.987989418,758,2274,1518.111965,1.44E+07,-0.321999823,1533,3.531389486,199.2357247,39694.87401,69524.57602,2.23E+10,6.380138828,2.54E-12,39690.69692,-2546579.716,5.56E+09,1489.466022,1504.274628,6,218,32.08902452,304942,4.656284572,30,45.7032494,13.41906947,180.0714255,32392.49603,1.15E+07,331.666372,1.30E-13,180.0524766,11251.40399,1481960.69,28.65228676,30.22471614,124.5,0.824662552,0.977855852,1.358034428,0.263641643,153.4349488,15.65247584,14.67219617,10.80399427,43.55634919,0.6484375,0.736358357,1.022645616,0.976470588,23,215,84.40689655,12239,0.953598831,72,3.128381163,41.53520872,1725.173563,626.7487613,1281481,2.145992704,1.92E-14,1713.275815,68330.54767,9310762.546,67.56779729,75.36969341,218,83.63,16726,1.164885796,70,3.745333323,43.17654654,1864.214171,99,31.11202435,102203,0.970095463,30,5.406375602,9.383537932,88.05078412,109,36,0,0,0,145,62,73,10,0,0,145,1,1,5,2,2,5
