row ID,Common Filename,Parent folder,File extension,Well Position,TimePoint,FieldNumber,Green Probe,Red Probe,Far Red Probe,Green Probe Detect,Red Probe Detect,Far Red Probe Detect,CT Probe Color,Karyotype,NucleusID,CTID,Dimension 0 (Centroid),Dimension 1 (Centroid),Normalized Centriod DistanceMap,Center of Gravity in Dimension#0 (Center of Gravity),Center of Gravity in Dimension#1 (Center of Gravity),Normalized Center of Gravity DistanceMap,Size (Geometric Features 2D),Circularity (Geometric Features 2D),Convexity (Geometric Features 2D),Eccentricity (Geometric Features 2D),Main Elongation (Geometric Features 2D),Ferets Angle (Geometric Features 2D),Ferets Diameter (Geometric Features 2D),Major Axis (Geometric Features 2D),Minor Axis (Geometric Features 2D),Boundary Size (Geometric Features 2D),Boxivity (Geometric Features 2D),Roundness (Geometric Features 2D),Rugosity (Geometric Features 2D),Solidity (Geometric Features 2D),Minimum (Statistic Features),Maximum (Statistic Features),Mean (Statistic Features),Sum (Statistic Features),Skewness (Statistic Features),Median (Statistic Features),Kurtosis (Statistic Features),Standard Deviation (Statistic Features),Variance (Statistic Features),Sum Of Logs (Statistic Features),Sum Of Squares (Statistic Features),Sum Of Inverses (Statistic Features),Moment 1 About Mean (Statistic Features),Moment 2 About Mean (Statistic Features),Moment 3 About Mean (Statistic Features),Moment 4 About Mean (Statistic Features),Harmonic Mean (Statistic Features),Geometric Mean (Statistic Features),Minimum (Statistic Features) (CT Channel),Maximum (Statistic Features) (CT Channel),Mean (Statistic Features) (CT Channel),Sum (Statistic Features) (CT Channel),Skewness (Statistic Features) (CT Channel),Median (Statistic Features) (CT Channel),Kurtosis (Statistic Features) (CT Channel),Standard Deviation (Statistic Features) (CT Channel),Variance (Statistic Features) (CT Channel),Sum Of Logs (Statistic Features) (CT Channel),Sum Of Squares (Statistic Features) (CT Channel),Sum Of Inverses (Statistic Features) (CT Channel),Moment 1 About Mean (Statistic Features) (CT Channel),Moment 2 About Mean (Statistic Features) (CT Channel),Moment 3 About Mean (Statistic Features) (CT Channel),Moment 4 About Mean (Statistic Features) (CT Channel),Harmonic Mean (Statistic Features) (CT Channel),Geometric Mean (Statistic Features) (CT Channel),Size (Geometric Features 2D)_CT,Circularity (Geometric Features 2D)_CT,Convexity (Geometric Features 2D)_CT,Eccentricity (Geometric Features 2D)_CT,Main Elongation (Geometric Features 2D)_CT,Ferets Angle (Geometric Features 2D)_CT,Ferets Diameter (Geometric Features 2D)_CT,Major Axis (Geometric Features 2D)_CT,Minor Axis (Geometric Features 2D)_CT,Boundary Size (Geometric Features 2D)_CT,Boxivity (Geometric Features 2D)_CT,Roundness (Geometric Features 2D)_CT,Rugosity (Geometric Features 2D)_CT,Solidity (Geometric Features 2D)_CT,Minimum (Statistic Features)_CT,Maximum (Statistic Features)_CT,Mean (Statistic Features)_CT,Sum (Statistic Features)_CT,Skewness (Statistic Features)_CT,Median (Statistic Features)_CT,Kurtosis (Statistic Features)_CT,Standard Deviation (Statistic Features)_CT,Variance (Statistic Features)_CT,Sum Of Logs (Statistic Features)_CT,Sum Of Squares (Statistic Features)_CT,Sum Of Inverses (Statistic Features)_CT,Moment 1 About Mean (Statistic Features)_CT,Moment 2 About Mean (Statistic Features)_CT,Moment 3 About Mean (Statistic Features)_CT,Moment 4 About Mean (Statistic Features)_CT,Harmonic Mean (Statistic Features)_CT,Geometric Mean (Statistic Features)_CT,Maximum (Statistic Features)_AllCTs,Mean (Statistic Features)_AllCTs,Sum (Statistic Features)_AllCTs,Skewness (Statistic Features)_AllCTs,Median (Statistic Features)_AllCTs,Kurtosis (Statistic Features)_AllCTs,Standard Deviation (Statistic Features)_AllCTs,Variance (Statistic Features)_AllCTs,Maximum (Statistic Features)_XORAllCTs,Mean (Statistic Features)_XORAllCTs,Sum (Statistic Features)_XORAllCTs,Skewness (Statistic Features)_XORAllCTs,Median (Statistic Features)_XORAllCTs,Kurtosis (Statistic Features)_XORAllCTs,Standard Deviation (Statistic Features)_XORAllCTs,Variance (Statistic Features)_XORAllCTs,NumPixelsdistantShell1,NumPixelsdistantShell2,NumPixelsdistantShell3,NumPixelsdistantShell4,NumPixelsdistantShell5,NumPixelsAlldistantShells,NumPixelsareaShell1,NumPixelsareaShell2,NumPixelsareaShell3,NumPixelsareaShell4,NumPixelsareaShell5,NumPixelsAllareaShells,CentriodDistanceShellNumber,CenterofGravityDistanceShellNumber,TotalNumberofDistanceShells,CentriodAreaShellNumber,CenterofGravityAreaShellNumber,TotalNumberofAreaShells
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#1#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,1,1,49.69767442,31.79069767,0.533230484,49.75455019,31.7915671,0.533230484,8189,0.847821819,0.953737415,1.416304843,0.293937315,114.6768632,122.1556384,121.520309,85.80095558,348.391919,0.725460666,0.706062685,1.048506626,0.988591779,1205,3646,2178.06534,1.82E+07,0.080038764,2180,3.701001416,293.396446,86081.47451,64032.82163,4.03E+10,3.903142728,-2.13E-12,86071.15422,2021458.919,2.74E+10,2136.995898,2157.867769,416,7311,2132.824122,1.78E+07,1.942391279,2075,10.94609062,777.8081953,604985.5886,63437.97178,4.30E+10,4.424913601,1.95E-12,604913.0571,9.14E+08,4.01E+12,1885.008557,2009.3358,106,0.537124129,0.934789335,2.912247465,0.656622587,71.56505118,18.97366596,19.82540783,6.807597247,49.79898987,0.717708333,0.343377413,1.069759744,0.831372549,3070,6989,4736.155039,610964,0.281732355,4659,2.113035023,967.6125455,936274.0383,1089.041617,3.01E+09,0.028397942,-1.34E-13,929016.1,2.55E+08,1.85E+12,4542.582627,4638.67052,7311,4572.632353,1554695,0.246108045,4451,2.047848257,1154.611379,1333127.437,4203,2128.741319,5455964,-0.492522113,2261,2.711723627,678.3506365,460159.5861,0,3,110,16,0,129,0,0,4,113,12,129,3,3,5,4,4,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#1#2,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,1,2,66.58767773,37.21327014,0.279868156,65.51130036,36.72688828,0.290219694,8189,0.847821819,0.953737415,1.416304843,0.293937315,114.6768632,122.1556384,121.520309,85.80095558,348.391919,0.725460666,0.706062685,1.048506626,0.988591779,1205,3646,2178.06534,1.82E+07,0.080038764,2180,3.701001416,293.396446,86081.47451,64032.82163,4.03E+10,3.903142728,-2.13E-12,86071.15422,2021458.919,2.74E+10,2136.995898,2157.867769,416,7311,2132.824122,1.78E+07,1.942391279,2075,10.94609062,777.8081953,604985.5886,63437.97178,4.30E+10,4.424913601,1.95E-12,604913.0571,9.14E+08,4.01E+12,1885.008557,2009.3358,177.5,0.392807856,0.8847811,1.9728721,0.49312477,56.30993247,28.8444102,21.11561348,10.70298144,75.35533906,0.411641929,0.50687523,1.130223057,0.702970297,2615,7311,4472.658768,943731,0.329161416,4355,1.944326475,1246.955953,1554899.15,1765.379686,4.55E+09,0.051002981,5.26E-13,1547529.959,6.38E+08,4.70E+12,4137.013128,4301.539974,7311,4572.632353,1554695,0.246108045,4451,2.047848257,1154.611379,1333127.437,4203,2128.741319,5455964,-0.492522113,2261,2.711723627,678.3506365,460159.5861,81,116,14,0,0,211,10,102,88,11,0,211,2,2,5,3,3,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#2#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,2,1,56.47208122,90.05076142,0.706480026,56.37460405,90.61574831,0.706480026,8678.5,0.795366413,0.952130186,1.675011122,0.402989039,115.0674634,136.8941197,136.0461452,81.22103992,370.2914139,0.7189337,0.597010961,1.050276543,0.987820841,1260,3394,2259.709615,2.00E+07,-0.332293595,2281,3.038078911,311.8482186,97249.31141,68181.69724,4.60E+10,3.995150717,-4.81E-12,97238.31036,-1.01E+07,2.87E+10,2212.682481,2236.934496,591,10357,2408.868213,2.13E+07,2.437534824,2299,16.15142376,851.7282453,725441.0039,68371.51997,5.77E+10,4.074438543,1.19E-11,725358.9404,1.51E+09,8.50E+12,2169.624086,2285.48798,168.5,0.521857063,0.919126011,2.568146934,0.61061418,262.568592,23.19482701,23.47280257,9.139976476,63.69848481,0.46189693,0.38938582,1.087990099,0.794811321,3528,10357,5855.563452,1153546,0.967978635,5530,3.422347427,1470.225945,2161564.329,1703.330135,7.18E+09,0.035564846,-7.80E-13,2150591.921,3.08E+09,1.60E+13,5539.177657,5689.31914,10357,5095.609428,1513396,0.949951879,4786,3.512966202,1628.812698,2653030.806,5173,2337.919811,6443307,0.271508986,2316,3.295387146,712.4853215,507635.3333,0,0,45,120,32,197,0,0,0,58,139,197,4,4,5,5,5,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#2#2,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,2,2,52.32,113.5,0.258351356,52.56491316,113.3989051,0.258351356,8678.5,0.795366413,0.952130186,1.675011122,0.402989039,115.0674634,136.8941197,136.0461452,81.22103992,370.2914139,0.7189337,0.597010961,1.050276543,0.987820841,1260,3394,2259.709615,2.00E+07,-0.332293595,2281,3.038078911,311.8482186,97249.31141,68181.69724,4.60E+10,3.995150717,-4.81E-12,97238.31036,-1.01E+07,2.87E+10,2212.682481,2236.934496,591,10357,2408.868213,2.13E+07,2.437534824,2299,16.15142376,851.7282453,725441.0039,68371.51997,5.77E+10,4.074438543,1.19E-11,725358.9404,1.51E+09,8.50E+12,2169.624086,2285.48798,80.5,0.541717443,0.930628633,1.873630935,0.466276959,28.07248694,17,13.85782344,7.396239664,43.21320344,0.557479224,0.533723041,1.074542481,0.838541667,2607,4772,3598.5,359850,0.248271112,3600,2.379914464,489.5206169,239630.4343,817.9121435,1.32E+09,0.028303322,0,237234.13,2.91E+07,1.37E+11,3533.154165,3565.720565,10357,5095.609428,1513396,0.949951879,4786,3.512966202,1628.812698,2653030.806,5173,2337.919811,6443307,0.271508986,2316,3.295387146,712.4853215,507635.3333,40,60,0,0,0,100,0,67,33,0,0,100,2,2,5,2,2,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#3#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,3,1,97.13541667,24.71875,0.104027778,97.34620909,24.27385586,0.104027778,10598,0.874104068,0.949549884,1.118642389,0.106059265,120.4195796,126.4001582,122.860606,109.8301004,390.3330445,0.761761006,0.893940735,1.053130559,0.989311552,1026,2804,1965.330299,2.12E+07,-0.340096766,1988,2.899503316,284.1798161,80758.1679,81522.86937,4.25E+10,5.606606015,3.42E-12,80750.66668,-7805166.816,1.89E+10,1920.234804,1943.512929,571,10728,2569.58694,2.77E+07,2.230742372,2521,17.32565157,882.0192486,777957.9549,83942.37362,7.95E+10,4.705278913,1.98E-12,777885.6942,1.53E+09,1.05E+13,2288.068401,2433.262128,167.5,0.678481348,0.955495587,1.862714806,0.463149164,52.59464337,21.40093456,19.93130102,10.70013561,55.69848481,0.656862745,0.536850836,1.046577309,0.900537634,2665,10728,6153.765625,1181523,0.450282337,6090,2.561995361,1952.411336,3811910.023,1665.330406,8.00E+09,0.034640219,0,3792056.325,3.35E+09,3.72E+13,5542.690071,5846.484752,10728,6153.765625,1181523,0.450282337,6090,2.561995361,1952.411336,3811910.023,4896,2415.792989,7305358,-0.232453492,2645,2.008454537,912.3137283,832316.3389,187,5,0,0,0,192,123,69,0,0,0,192,1,1,5,1,1,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#4#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,4,1,60.34715026,61.49740933,0.752012372,60.39383082,61.42112221,0.752012372,8141,0.753478976,0.95190251,2.018900239,0.504680825,125.2563587,142.0563269,144.6609679,71.65335119,368.4751801,0.804299915,0.495319175,1.050527747,0.989847407,933,2858,1693.730834,1.41E+07,-0.01784708,1707,3.443349592,242.8287455,58965.79963,61589.72045,2.43E+10,5.006399421,2.01E-12,58958.69189,-255545.0372,1.20E+10,1657.079131,1675.766734,583,9114,2061.504701,1.71E+07,2.345959217,2034,15.8511342,784.8146328,615934.0079,62780.94908,4.04E+10,4.585930389,1.02E-11,615859.7632,1.13E+09,6.01E+12,1809.011323,1934.524449,168.5,0.703297277,0.95169321,2.000056531,0.500014132,168.6900675,20.39607805,20.71458073,10.35699762,54.87005769,0.736451049,0.499985868,1.050758784,0.908355795,3009,9114,5263.668394,1015888,0.557115342,5142,2.618917482,1354.857236,1835638.129,1647.526783,5.70E+09,0.03907863,-2.26E-13,1826127.051,1.39E+09,8.82E+12,4938.760693,5097.004025,9114,5263.668394,1015888,0.557115342,5142,2.618917482,1354.857236,1835638.129,3831,2127.234073,6043472,-0.313218662,2238,2.243210787,749.6655093,561998.3758,0,0,28,102,63,193,0,0,0,59,134,193,4,4,5,5,5,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#5#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,5,1,61.12264151,84.11320755,0.161206469,61.68955612,84.23101665,0.161206469,8183.5,0.659654319,0.951332938,2.586910215,0.613438459,264.6106882,159.7059799,164.1781209,63.46494746,394.8355698,0.553357947,0.386561541,1.051156709,0.976551313,814,2822,1665.663796,1.39E+07,-0.596762153,1694,3.690907484,232.1634694,53899.87655,61932.46657,2.36E+10,5.134375983,-2.53E-12,53893.42996,-7467632.338,1.07E+10,1628.435477,1647.976978,365,12677,1908.00897,1.60E+07,5.961511318,1904,63.3708608,801.111121,641779.0283,62649.2927,3.58E+10,4.989222501,-4.73E-12,641702.2696,3.07E+09,2.61E+13,1675.812213,1795.498965,89,0.818253267,0.980725683,1.632862232,0.387578462,85.91438322,14.03566885,13.60269106,8.330580984,36.97056275,0.697492163,0.612421538,1.019653117,0.978021978,3396,12677,7074.471698,749894,0.47561857,6479,2.012090732,2591.90802,6717987.185,932.543313,6.01E+09,0.017111014,-2.75E-13,6654609.947,8.28E+09,9.08E+13,6194.840341,6618.198121,12677,7074.471698,749894,0.47561857,6479,2.012090732,2591.90802,6717987.185,3226,1849.347189,6184217,-1.139288156,1931,4.441446367,457.8115561,209591.4209,87,19,0,0,0,106,51,55,0,0,0,106,1,1,5,2,2,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#6#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,6,1,42.42424242,80.05050505,0.576360822,42.14641865,80.27876013,0.576360822,6314,0.748588318,0.950197017,1.918655069,0.478801575,258.6900675,127.4754878,124.195483,64.73049013,325.5634919,0.686506024,0.521198425,1.052413323,0.983565698,1357,3681,2539.359256,1.64E+07,-0.171262802,2550,2.499137154,408.9066275,167204.63,50516.75712,4.27E+10,2.614803169,7.67E-12,167178.7269,-1.17E+07,6.99E+10,2468.637057,2504.861466,956,10411,2918.626491,1.88E+07,1.709506622,2826,11.16356323,960.3623481,922295.8396,51182.35529,6.09E+10,2.446661222,1.12E-11,922152.9587,1.51E+09,9.50E+12,2638.28925,2776.932809,82.5,0.783112929,0.959219883,1.267717034,0.211180434,189.4623222,12.16552506,11.53966487,9.102713433,36.38477631,0.709821429,0.788819566,1.042513836,0.93220339,4284,10411,6673.888889,660715,0.389783498,6384,1.789257646,1786.416507,3191283.937,868.3213153,4.72E+09,0.015897063,-7.35E-13,3159048.745,2.22E+09,1.82E+13,6227.565451,6444.113626,10411,5508.470588,1311016,1.18326578,5000,3.562583862,1629.574138,2655511.87,6603,3152.858841,6365622,-0.524046286,3232,3.975716278,763.2064664,582484.1104,0,4,63,32,0,99,0,0,9,64,26,99,3,3,5,4,4,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#6#2,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,6,2,45.07194245,98.89928058,0.235903978,45.19550024,98.43788953,0.235903978,6314,0.748588318,0.950197017,1.918655069,0.478801575,258.6900675,127.4754878,124.195483,64.73049013,325.5634919,0.686506024,0.521198425,1.052413323,0.983565698,1357,3681,2539.359256,1.64E+07,-0.171262802,2550,2.499137154,408.9066275,167204.63,50516.75712,4.27E+10,2.614803169,7.67E-12,167178.7269,-1.17E+07,6.99E+10,2468.637057,2504.861466,956,10411,2918.626491,1.88E+07,1.709506622,2826,11.16356323,960.3623481,922295.8396,51182.35529,6.09E+10,2.446661222,1.12E-11,922152.9587,1.51E+09,9.50E+12,2638.28925,2776.932809,115.5,0.519244948,0.968972231,2.928000077,0.658469954,244.5366549,23.2594067,20.75064465,7.086968616,52.87005769,0.58451417,0.341530046,1.032021319,0.905882353,3236,6796,4678.42446,650301,0.626322521,4503,2.541627804,791.1693875,625948.9997,1172.75292,3.13E+09,0.030517924,-5.23E-13,621445.7695,3.10E+08,9.96E+11,4554.700378,4615.01949,10411,5508.470588,1311016,1.18326578,5000,3.562583862,1629.574138,2655511.87,6603,3152.858841,6365622,-0.524046286,3232,3.975716278,763.2064664,582484.1104,73,66,0,0,0,139,13,97,29,0,0,139,2,2,5,2,2,5
/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall#7#1,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra/AssayPlate_PerkinElmer_CellCarrier-384 Ultra_D06_T0001F001Zall,/spin1/users/jowharzm/data/Exp12/170502-EXP12-64-57-03-Plate-1_20170502_143847/AssayPlate_PerkinElmer_CellCarrier-384 Ultra,tif, D06,1,1,X,Y,Xist,X,Y,,Red,XY,7,1,69.31753555,22.47393365,0.554387391,69.36622354,22.71474317,0.554387391,7746,0.825622801,0.948838708,1.551115989,0.355302887,203.86833,123.5677952,123.6846894,79.73916221,343.3624817,0.698561573,0.644697113,1.053919904,0.989272031,860,2562,1574.017991,1.24E+07,-0.517803881,1607,3.341098911,221.1590825,48911.33977,58018.72179,1.99E+10,5.128899341,6.87E-12,48905.14297,-5601181.426,7.99E+09,1538.926673,1557.216541,399,6185,1463.666667,1.16E+07,2.129421759,1441,13.60806627,513.215369,263390.015,57097.75502,1.90E+10,6.035975191,-7.05E-12,263356.6449,2.88E+08,9.44E+11,1307.65945,1385.718112,179,0.455351323,0.883847491,2.289551119,0.563233163,258.2317111,24.51530134,22.84318974,9.977147725,70.28427125,0.411494253,0.436766837,1.131416913,0.764957265,2115,6185,3429.236967,723569,0.893081596,3347,3.992413532,738.1329928,544840.315,1712.978225,2.60E+09,0.064201976,-5.95E-13,542258.1334,3.59E+08,1.19E+12,3286.503191,3355.581021,6185,3429.236967,723569,0.893081596,3347,3.992413532,738.1329928,544840.315,4437,1509.287873,3895472,0.008679994,1565,5.863937777,414.4143038,171739.2152,0,49,62,96,4,211,0,9,47,78,77,211,3,3,5,4,4,5
