,interaction,PatientNumber,EXPPlate,Karyotype,median.CT.area,mean.CT.area,StD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14p1.XO,1,14p1,XO,206,209.6440397,55.52286212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27p1.XO,1,27p1,XO,205.5,208.96875,58.54807121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17p1.XO,2,17p1,XO,214.5,214.8937636,51.43761297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,28p1.XO,2,28p1,XO,182,187.5244659,50.38575175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20p2.XO,3,20p2,XO,219.5,232.1294248,75.06617499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,30p1.XO,3,30p1,XO,202,204.5725327,54.75295204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27p1.XX,1,27p1,XX,211.75,214.3993794,57.00013482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27p2.XX,1,27p2,XX,215,217.6797196,59.14627636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28p1.XX,2,28p1,XX,193.5,196.9792139,52.08167701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12p2.XX,2,12p2,XX,220,220.5627348,51.28941697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20p2.XX,3,20p2,XX,224.5,228.0517016,60.27450802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,30p1.XX,3,30p1,XX,217.5,219.127354,57.71081406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11p1.XXX,1,11p1,XXX,217,220.9925766,58.89860316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11p1.XXX,2,11p1,XXX,217,220.9925766,58.89860316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27p1.XXX,1,27p1,XXX,211.5,216.5334612,57.64656531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28p1.XXX,2,28p1,XXX,198.5,203.1445209,53.96938475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,22p1.XXX,3,22p1,XXX,209,210.5370839,53.77887309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30p1.XXX,3,30p1,XXX,218.5,220.4568835,56.4511618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14p1.XXXX,1,14p1,XXXX,194,197.7042224,47.46669125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27p1.XXXX,1,27p1,XXXX,211.5,212.108469,51.66385735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,17p1.XXXX,2,17p1,XXXX,197,198.9273006,47.78797742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28p1.XXXX,2,28p1,XXXX,187,192.0707787,48.06016616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,22p1.XXXX,3,22p1,XXXX,213,215.5679437,54.53307188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,30p1.XXXX,3,30p1,XXXX,206.5,208.3215517,53.30289861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
