,interaction,PatientNumber,EXPPlate,Karyotype,median.CT.area,mean.CT.area,StD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14p1.XXXXY,1,14p1,XXXXY,198.5,202.4447248,51.09606395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,27p1.XXXXY,1,27p1,XXXXY,206.5,208.8365297,53.06602238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,17p1.XXXXY,2,17p1,XXXXY,194,194.7284964,46.55130639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,28p1.XXXXY,2,28p1,XXXXY,185.5,189.1292135,47.63700943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,22p1.XXXXY,3,22p1,XXXXY,222,224.4039339,57.15634458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,30p1.XXXXY,3,30p1,XXXXY,215.5,216.1930301,54.81859426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27p2.XXY,1,27p2,XXY,210,212.1537304,55.80628991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27p1.XXY,1,27p1,XXY,212,214.2028563,56.91017463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12p2.XXY,2,12p2,XXY,204,206.1831667,51.69547376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,28p1.XXY,2,28p1,XXY,196,201.5117925,53.35130768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20p2.XXY,3,20p2,XXY,224.25,228.0065502,61.90640846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,30p1.XXY,3,30p1,XXY,210.25,210.8516055,53.08955237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14p1.XXYY,1,14p1,XXYY,210.75,212.4598811,52.08123005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,27p1.XXYY,1,27p1,XXYY,210,210.8731318,54.40204052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,17p1.XXYY,2,17p1,XXYY,201.5,202.6613845,50.45744042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,28p1.XXYY,2,28p1,XXYY,187.5,192.630803,51.44457586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,22p1.XXYY,3,22p1,XXYY,214.25,218.1534091,55.42466086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,30p1.XXYY,3,30p1,XXYY,209.5,212.0003041,56.78211525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,27p2.XY,1,27p2,XY,208.75,213.3185307,55.88583181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,27p1.XY,1,27p1,XY,206.75,208.2101563,54.8607938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12p2.XY,2,12p2,XY,218,217.6926934,51.60397642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,28p1.XY,2,28p1,XY,198.5,203.0292642,53.15681114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20p2.XY,3,20p2,XY,204,211.4303012,60.44658653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,30p1.XY,3,30p1,XY,213.5,213.362093,52.44161309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11p1.XYY,1,11p1,XYY,195,198.3988727,53.49977319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11p1.XYY,2,11p1,XYY,195,198.3988727,53.49977319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27p1.XYY,1,27p1,XYY,205,208.7081967,55.39216939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,28p1.XYY,2,28p1,XYY,201.5,207.0277778,56.78102791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,22p1.XYY,3,22p1,XYY,217,218.5697788,56.25737767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,30p1.XYY,3,30p1,XYY,216,219.1634518,52.91656843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karyotype,XO,XO,XO,XO,XO,XO,XX,XX,XX,XX,XX,XX,XXX,XXX,XXX,XXX,XXX,XXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXXY,XXXXY,XXXXY,XXXXY,XXXXY,XXXXY,XXY,XXY,XXY,XXY,XXY,XXY,XXYY,XXYY,XXYY,XXYY,XXYY,XXYY,XY,XY,XY,XY,XY,XY,XYY,XYY,XYY,XYY,XYY,XYY
Mean CT Area,209.6440397,208.96875,214.8937636,187.5244659,232.1294248,204.5725327,214.3993794,217.6797196,196.9792139,220.5627348,228.0517016,219.127354,220.9925766,220.9925766,216.5334612,203.1445209,210.5370839,220.4568835,197.7042224,212.108469,198.9273006,192.0707787,215.5679437,208.3215517,202.4447248,208.8365297,194.7284964,189.1292135,224.4039339,216.1930301,212.1537304,214.2028563,206.1831667,201.5117925,228.0065502,210.8516055,212.4598811,210.8731318,202.6613845,192.630803,218.1534091,212.0003041,213.3185307,208.2101563,217.6926934,203.0292642,211.4303012,213.362093,198.3988727,198.3988727,208.7081967,207.0277778,218.5697788,219.1634518
