,interaction,Experiment,PatientNumber,Karyotype,EXPPlate,InactiveFlag,median.CT.area,mean.CT.area,StD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Exp27p1.XO.Active,1,1,XO,Exp27p1,Active,294,302.8810826,83.07701498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Exp27p2.XO.Active,2,1,XO,Exp27p2,Active,275,283.6477752,81.58910707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Exp28p1.XO.Active,1,2,XO,Exp28p1,Active,287.5,295.3909791,79.6270074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Exp28p2.XO.Active,2,2,XO,Exp28p2,Active,271.5,282.7471098,80.83067905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Exp30p3.XO.Active,1,3,XO,Exp30p3,Active,315,323.1899883,85.73700984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Exp30p4.XO.Active,2,3,XO,Exp30p4,Active,317.5,324.9629745,89.78202484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Exp27p1.XX.Active,1,1,XX,Exp27p1,Active,279,281.4642249,78.26213871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Exp27p2.XX.Active,2,1,XX,Exp27p2,Active,251.5,256.6926206,76.33266543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Exp28p1.XX.Active,1,2,XX,Exp28p1,Active,267,273.3953935,72.39519842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Exp28p2.XX.Active,2,2,XX,Exp28p2,Active,229,233.1367673,74.60453958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Exp30p3.XX.Active,1,3,XX,Exp30p3,Active,275.5,277.1133168,81.05698662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Exp30p4.XX.Active,2,3,XX,Exp30p4,Active,279,280.702946,79.28373388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Exp27p1.XX.Inactive,1,1,XX,Exp27p1,Inactive,216.5,224.6971787,55.85892978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Exp27p2.XX.Inactive,2,1,XX,Exp27p2,Inactive,208,214.6817907,55.20046354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Exp28p1.XX.Inactive,1,2,XX,Exp28p1,Inactive,239,243.7051661,61.49541518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Exp28p2.XX.Inactive,2,2,XX,Exp28p2,Inactive,205,210.3182587,60.23369903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Exp30p3.XX.Inactive,1,3,XX,Exp30p3,Inactive,203,208.9934641,50.90692858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Exp30p4.XX.Inactive,2,3,XX,Exp30p4,Inactive,206.5,215.9600917,62.4231319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Exp27p1.XXX.Active,1,1,XXX,Exp27p1,Active,254,255.6583991,79.98596003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Exp27p2.XXX.Active,2,1,XXX,Exp27p2,Active,244.5,247.6865794,80.4944103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exp28p1.XXX.Active,1,2,XXX,Exp28p1,Active,246.5,252.6156812,75.59329398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Exp28p2.XXX.Active,2,2,XXX,Exp28p2,Active,233.5,237.0383663,79.26094624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Exp30p3.XXX.Active,1,3,XXX,Exp30p3,Active,248.5,246.319869,77.52479418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Exp30p4.XXX.Active,2,3,XXX,Exp30p4,Active,256.5,255.6047542,78.9461172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Exp27p1.XXX.Inactive,1,1,XXX,Exp27p1,Inactive,208.5,214.7256548,58.86027122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Exp27p2.XXX.Inactive,2,1,XXX,Exp27p2,Inactive,212.5,219.0600546,60.70226658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Exp28p1.XXX.Inactive,1,2,XXX,Exp28p1,Inactive,220,225.9329244,62.66355127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Exp28p2.XXX.Inactive,2,2,XXX,Exp28p2,Inactive,201,208.2599427,62.98598485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Exp30p3.XXX.Inactive,1,3,XXX,Exp30p3,Inactive,205,213.9884824,60.78513437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Exp30p4.XXX.Inactive,2,3,XXX,Exp30p4,Inactive,204.5,209.7155703,57.28355407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Exp27p1.XXXX.Active,1,1,XXXX,Exp27p1,Active,223.25,223.3904682,71.27502365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Exp27p2.XXXX.Active,2,1,XXXX,Exp27p2,Active,205,205.8090692,68.9692461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Exp28p1.XXXX.Active,1,2,XXXX,Exp28p1,Active,215,215.4869684,73.05018246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Exp28p2.XXXX.Active,2,2,XXXX,Exp28p2,Active,200.5,202.6929716,69.76517535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Exp30p3.XXXX.Active,1,3,XXXX,Exp30p3,Active,221.75,225.5547481,76.87023566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Exp30p4.XXXX.Active,2,3,XXXX,Exp30p4,Active,218,217.9334291,71.2457001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Exp27p1.XXXX.Inactive,1,1,XXXX,Exp27p1,Inactive,196,208.3722999,67.1980534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Exp27p2.XXXX.Inactive,2,1,XXXX,Exp27p2,Inactive,186,196.2424838,61.44498363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Exp28p1.XXXX.Inactive,1,2,XXXX,Exp28p1,Inactive,200.5,206.8222535,64.31774532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Exp28p2.XXXX.Inactive,2,2,XXXX,Exp28p2,Inactive,181.5,185.340678,54.75809462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Exp30p3.XXXX.Inactive,1,3,XXXX,Exp30p3,Inactive,182,190.6241803,54.20584116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Exp30p4.XXXX.Inactive,2,3,XXXX,Exp30p4,Inactive,180,186.8403589,53.09359596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Exp27p1.XXXXY.Active,1,1,XXXXY,Exp27p1,Active,231,233.6049046,80.73527242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Exp27p2.XXXXY.Active,2,1,XXXXY,Exp27p2,Active,192.5,195.0142977,62.14654776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Exp28p1.XXXXY.Active,1,2,XXXXY,Exp28p1,Active,209.75,211.0811518,69.76856488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Exp28p2.XXXXY.Active,2,2,XXXXY,Exp28p2,Active,195,199.1369427,72.6149412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Exp30p3.XXXXY.Active,1,3,XXXXY,Exp30p3,Active,208,210.4667914,67.42705568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Exp30p4.XXXXY.Active,2,3,XXXXY,Exp30p4,Active,212.5,213.4105416,71.40003251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Exp27p1.XXXXY.Inactive,1,1,XXXXY,Exp27p1,Inactive,196.5,204.7606025,57.78620082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Exp27p2.XXXXY.Inactive,2,1,XXXXY,Exp27p2,Inactive,184,188.4073162,54.87943515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Exp28p1.XXXXY.Inactive,1,2,XXXXY,Exp28p1,Inactive,192.25,198.4442675,58.92370716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Exp28p2.XXXXY.Inactive,2,2,XXXXY,Exp28p2,Inactive,177.25,184.881068,57.41887529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Exp30p3.XXXXY.Inactive,1,3,XXXXY,Exp30p3,Inactive,173,178.2494807,45.30131383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Exp30p4.XXXXY.Inactive,2,3,XXXXY,Exp30p4,Inactive,174.5,179.8899043,46.45545306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Exp27p1.XXY.Active,1,1,XXY,Exp27p1,Active,278.5,277.3233204,79.53038037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Exp27p2.XXY.Active,2,1,XXY,Exp27p2,Active,261,267.6422977,74.44832583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Exp28p1.XXY.Active,1,2,XXY,Exp28p1,Active,271,274.0727532,80.9664834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Exp28p2.XXY.Active,2,2,XXY,Exp28p2,Active,263.5,266.8161972,82.59757306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Exp30p3.XXY.Active,1,3,XXY,Exp30p3,Active,268.25,269.5,74.20594239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Exp30p4.XXY.Active,2,3,XXY,Exp30p4,Active,273.5,274.6275472,76.78263865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Exp27p1.XXY.Inactive,1,1,XXY,Exp27p1,Inactive,220.5,229.8293478,66.35025866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Exp27p2.XXY.Inactive,2,1,XXY,Exp27p2,Inactive,218.75,223.8943906,55.9433225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
