,interaction,Experiment,PatientNumber,Karyotype,EXPPlate,InactiveFlag,median.CT.area,mean.CT.area,StD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Exp28p1.XXY.Inactive,1,2,XXY,Exp28p1,Inactive,235.5,245.6193353,69.19285298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Exp28p2.XXY.Inactive,2,2,XXY,Exp28p2,Inactive,229,236.1458333,68.91866508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Exp30p3.XXY.Inactive,1,3,XXY,Exp30p3,Inactive,193.5,200.7935606,50.2341975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Exp30p4.XXY.Inactive,2,3,XXY,Exp30p4,Inactive,198.5,207.3067511,54.16894981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Exp27p1.XXYY.Active,1,1,XXYY,Exp27p1,Active,270,271.6544161,79.70977726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Exp27p2.XXYY.Active,2,1,XXYY,Exp27p2,Active,252.5,260.8649812,75.39090133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Exp28p1.XXYY.Active,1,2,XXYY,Exp28p1,Active,264,271.1983061,77.30766154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Exp28p2.XXYY.Active,2,2,XXYY,Exp28p2,Active,252,258.1023359,76.08394476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Exp30p3.XXYY.Active,1,3,XXYY,Exp30p3,Active,262,266.7613277,83.17425972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Exp30p4.XXYY.Active,2,3,XXYY,Exp30p4,Active,264.25,265.4966475,79.47663621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Exp27p1.XXYY.Inactive,1,1,XXYY,Exp27p1,Inactive,216.5,227.4122867,64.01967753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Exp27p2.XXYY.Inactive,2,1,XXYY,Exp27p2,Inactive,216,223.4689104,57.13056351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Exp28p1.XXYY.Inactive,1,2,XXYY,Exp28p1,Inactive,235.5,244.6329853,68.84790546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Exp28p2.XXYY.Inactive,2,2,XXYY,Exp28p2,Inactive,220.75,228.6495925,66.51427763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Exp30p3.XXYY.Inactive,1,3,XXYY,Exp30p3,Inactive,203,215.2222964,63.95026202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Exp30p4.XXYY.Inactive,2,3,XXYY,Exp30p4,Inactive,198.5,206.7420925,63.26298785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Exp27p1.XY.Active,1,1,XY,Exp27p1,Active,307,312.7379455,83.44840636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Exp27p2.XY.Active,2,1,XY,Exp27p2,Active,281.5,291.2032967,77.00702924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Exp28p1.XY.Active,1,2,XY,Exp28p1,Active,298.5,307.9837523,81.8349728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Exp28p2.XY.Active,2,2,XY,Exp28p2,Active,283.5,292.7612137,84.69458452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Exp30p3.XY.Active,1,3,XY,Exp30p3,Active,302.75,308.9996434,80.32586536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Exp30p4.XY.Active,2,3,XY,Exp30p4,Active,299,305.0158228,78.84818432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Exp27p1.XYY.Active,1,1,XYY,Exp27p1,Active,303.5,310.1447979,83.25913341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Exp27p2.XYY.Active,2,1,XYY,Exp27p2,Active,268,275.1635255,73.2691581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Exp28p1.XYY.Active,1,2,XYY,Exp28p1,Active,303,312.8771989,85.79395205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Exp28p2.XYY.Active,2,2,XYY,Exp28p2,Active,280.5,291.2293893,86.18816499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Exp30p3.XYY.Active,1,3,XYY,Exp30p3,Active,313.5,319.4203403,82.87650878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Exp30p4.XYY.Active,2,3,XYY,Exp30p4,Active,311,314.4060484,80.65643118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XO,XO,XO,XO,XO,XO,XX,XX,XX,XX,XX,XX,XXX,XXX,XXX,XXX,XXX,XXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXXY,XXXXY,XXXXY,XXXXY,XXXXY,XXXXY,XXY,XXY,XXY,XXY,XXY,XXY,XXYY,XXYY,XXYY,XXYY,XXYY,XXYY,XY,XY,XY,XY,XY,XY,XYY,XYY,XYY,XYY,XYY,XYY
Mean Xa Area,302.8810826,283.6477752,295.3909791,282.7471098,323.1899883,324.9629745,281.4642249,256.6926206,273.3953935,233.1367673,277.1133168,280.702946,255.6583991,247.6865794,252.6156812,237.0383663,246.319869,255.6047542,223.3904682,205.8090692,215.4869684,202.6929716,225.5547481,217.9334291,233.6049046,195.0142977,211.0811518,199.1369427,210.4667914,213.4105416,277.3233204,267.6422977,274.0727532,266.8161972,269.5,274.6275472,271.6544161,260.8649812,271.1983061,258.1023359,266.7613277,265.4966475,312.7379455,291.2032967,307.9837523,292.7612137,308.9996434,305.0158228,310.1447979,275.1635255,312.8771989,291.2293893,319.4203403,314.4060484
Mean Xi Area,,,,,,,224.6971787,214.6817907,243.7051661,210.3182587,208.9934641,215.9600917,214.7256548,219.0600546,225.9329244,208.2599427,213.9884824,209.7155703,208.3722999,196.2424838,206.8222535,185.340678,190.6241803,186.8403589,204.7606025,188.4073162,198.4442675,184.881068,178.2494807,179.8899043,229.8293478,223.8943906,245.6193353,236.1458333,200.7935606,207.3067511,227.4122867,223.4689104,244.6329853,228.6495925,215.2222964,206.7420925,,,,,,,,,,,,
